SLW Locality,SLW field number,GSP-UM #,Leaf Morphotype,identification,DT,DT,DT,DT,DT,DT,DT,DT,DT,DT,# DTs present,checked,Comments,
SLW0001,SLW0001-01-01,7001,GH08,leaf,12,32,,,,,,,,,2,,,
SLW0001,SLW0001-01-02,7002,GH08?,leaf,NA,,,,,,,,,,0,y,,
SLW0001,SLW0001-01-03,7003,GH08,leaf,13,,,,,,,,,,1,y,,
SLW0001,SLW0001-02,7004,GH08,leaf,3,15,,,,,,,,,2,y,,
SLW0001,SLW0001-03,7005,GH08,leaf,2,12,,,,,,,,,2,y,"potential primary vein gall not distinct enough to ID, maybe just broader area of necrotic tissue -- potential DT49 ",
SLW0001,SLW0001-04-01,7006,GH08?,leaf,NA,,,,,,,,,,0,y,,
SLW0001,SLW0001-04-02,7007,GH08,leaf,1,12,,,,,,,,,2,y,,
SLW0001,SLW0001-05,7008,indet. dicot,leaf,NA,,,,,,,,,,0,y,,
SLW0001,SLW0001-06-01,7009,GH08,leaf,12,,,,,,,,,,1,y,,
SLW0001,SLW0001-06-02,7010,GH08,leaf,32,,,,,,,,,,1,y,,
SLW0001,SLW0001-07,7011,GH08,leaf,32,,,,,,,,,,1,y,,
SLW0001,SLW0001-08,7012,GH08,leaf,NA,,,,,,,,,,0,y,,
SLW0001,SLW0001-09-01,7013,GH08,leaf,1,77,,,,,,,,,2,y,,
SLW0001,SLW0001-09-02,7014,GH08,leaf,12,77,,,,,,,,,2,y,,
SLW0001,SLW0001-10,7015,GH08,leaf,NA,,,,,,,,,,0,y,,
SLW0001,SLW0001-11-01,7016,GH08,leaf,NA,,,,,,,,,,0,y,,
SLW0001,SLW0001-11-02,7017,GH08?,leaf,NA,,,,,,,,,,0,y,"no individual photo of triangular leaf spec, but no DTs scored w Alejo",
SLW0001,SLW0001-12,7018,GH08,leaf,3,12,14,,,,,,,,3,y,,
SLW0001,SLW0001-13-01,7019,GH08,leaf,12,17,32,,,,,,,,3,y,,
SLW0001,SLW0001-13-02,,GH08,leaf,,,,,,,,,,,NA,,,
SLW0001,SLW0001-14,7020,GH08,leaf,NA,,,,,,,,,,0,y,,
SLW0001,SLW0001-15,7021,GH08,leaf,NA,,,,,,,,,,0,y,,
SLW0001,SLW0001-16,7022,GH08,leaf,12,32,,,,,,,,,2,y,,
SLW0001,SLW0001-17-01,7023,GH28,leaf,3,12,,,,,,,,,2,y,,
SLW0001,SLW0001-17-02,,indet. dicot,leaf,,,,,,,,,,,NA,,,
SLW0001,SLW0001-18,7024,GH11,leaf,12,86,132,32,83,,,,,,5,y,,
SLW0001,SLW0001-19,7025,GH08,leaf,68,14,,,,,,,,,2,y,,
SLW0001,SLW0001-20,7026,GH08,leaf,12,15,32,33,34,,,,,,5,y,,
